FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370104013 ,1826,2112.861,563,83,0.045454545,139,0.076122673,30.9,1233,0.67524644,394,0.21577218,713,0.390470975,0.21796276,81,958,0.084551148,43083,0.1443769,0.600558659,0.081936685,0.01396648,101300
470370104021 ,1923,4879.736,431,341,0.177327093,162,0.08424337,21,760,0.395215809,428,0.222568903,734,0.381695268,0.236089444,108,734,0.147138965,37599,0.131048387,0.82278481,0.075949367,0.016110472,103100
470370104022 ,1013,2632.511,445,0,0,140,0.138203356,38.9,462,0.456071076,184,0.181638697,460,0.454096742,0.240868707,70,375,0.186666667,20452,0.172862454,0.771565495,0.132587859,0.028753994,103600
470370104023 ,1737,5107.785,670,274,0.157743235,37,0.021301094,25.2,673,0.387449626,936,0.538860104,104,0.059873345,0.044905009,144,853,0.168815944,22857,0.090909091,0.773823192,0.013777268,0,103800
470370104024 ,649,4093.571,186,62,0.095531587,106,0.163328197,30.2,544,0.838212635,55,0.084745763,80,0.123266564,0.095531587,61,284,0.214788732,47903,0.367346939,0.835106383,0.053191489,0.053191489,104400
470370104025 ,1005,14883.71,631,33,0.032835821,211,0.209950249,51.7,695,0.691542289,294,0.292537313,170,0.169154229,0.258706468,91,555,0.163963964,22446,0.158666667,0.723919916,0.029504742,0,105300
470370105011 ,276,826.2155,246,0,0,30,0.108695652,59.6,220,0.797101449,43,0.155797101,13,0.047101449,0,84,156,0.538461538,25176,0,0.832512315,0.044334975,0,106400
470370105012 ,979,2563.709,532,49,0.050051073,319,0.325842697,49.8,862,0.880490296,60,0.061287028,15,0.015321757,0,0,400,0,18547,0,0.686060606,0.078787879,0.018181818,106700
470370105013 ,1280,363.9059,345,116,0.090625,73,0.05703125,28.6,1280,1,0,0,506,0.3953125,0.1328125,53,782,0.067774936,65792,0.077540107,0.758807588,0.150406504,0.062330623,106800
470370105014 ,1100,4787.119,442,228,0.207272727,143,0.13,37,901,0.819090909,19,0.017272727,23,0.020909091,0.070909091,52,668,0.077844311,70714,0,0.94691358,0.324691358,0.079012346,107100
470370105015 ,839,4039.041,414,53,0.063170441,44,0.052443385,45.2,829,0.988081049,0,0,0,0,0,71,596,0.119127517,69628,0,0.858146067,0.311797753,0.08988764,107600
470370105016 ,1332,967.2613,454,196,0.147147147,155,0.116366366,33.3,1177,0.883633634,44,0.033033033,15,0.011261261,0.011261261,0,618,0,76622,0.065843621,0.950980392,0.361519608,0.087009804,107800
